Tweet_id,Text,Label,remove_user,remove_punc,remove_emoji,case_folding,tweet_clean,Tweet
1542008275738058754,Also piinis kek apaan beli minyak goreng pake aplikasi internet aja mahal dan ga semua ada. Gils makin muak.,0,Also piinis kek apaan beli minyak goreng pake aplikasi internet aja mahal dan ga semua ada. Gils makin muak.,Also piinis kek apaan beli minyak goreng pake aplikasi internet aja mahal dan ga semua ada Gils makin muak,Also piinis kek apaan beli minyak goreng pake aplikasi internet aja mahal dan ga semua ada Gils makin muak,also piinis kek apaan beli minyak goreng pake aplikasi internet aja mahal dan ga semua ada gils makin muak,"['also', 'piinis', 'kek', 'beli', 'minyak', 'goreng', 'pake', 'aplikasi', 'internet', 'aja', 'mahal', 'ga', 'gils', 'muak']",also piinis kek beli minyak goreng pake aplikasi internet aja mahal ga gils muak
1542419456772608000,"@MuksonSimangun4 @RamliRizal Apanya kau cebong, ini gak warga negara, semua aja gk becus Pemerintah ini,minyak goreng saja tetap mahal,padahal cpo dunia sudah turun,pertanian mau dibikin ribet,kau orang kaya apa siluman, buzer sampah",0,"  Apanya kau cebong, ini gak warga negara, semua aja gk becus Pemerintah ini,minyak goreng saja tetap mahal,padahal cpo dunia sudah turun,pertanian mau dibikin ribet,kau orang kaya apa siluman, buzer sampah",  Apanya kau cebong ini gak warga negara semua aja gk becus Pemerintah iniminyak goreng saja tetap mahalpadahal cpo dunia sudah turunpertanian mau dibikin ribetkau orang kaya apa siluman buzer sampah,Apanya kau cebong ini gak warga negara semua aja gk becus Pemerintah iniminyak goreng saja tetap mahalpadahal cpo dunia sudah turunpertanian mau dibikin ribetkau orang kaya apa siluman buzer sampah,apanya kau cebong ini gak warga negara semua aja gk becus pemerintah iniminyak goreng saja tetap mahalpadahal cpo dunia sudah turunpertanian mau dibikin ribetkau orang kaya apa siluman buzer sampah,"['apa', 'kau', 'cebong', 'gak', 'warga', 'negara', 'aja', 'gk', 'becus', 'perintah', 'iniminyak', 'goreng', 'mahalpadahal', 'cpo', 'dunia', 'turunpertanian', 'bikin', 'ribetkau', 'orang', 'kaya', 'siluman', 'buzer', 'sampah']",apa kau cebong gak warga negara aja gk becus perintah iniminyak goreng mahalpadahal cpo dunia turunpertanian bikin ribetkau orang kaya siluman buzer sampah
1542002244752908288,"@miwo0o_ @FOOD_FESS Bukan hanya ayam yang mahal, bumbu2nya mahal semua. Cabe ratusan ribu, bawang dan kacang tanah naik semua. Kecap manis juga udah makin mahal. Minyak goreng mahal dah gak kaget lagi ya. Penjual juga pasti pada bingung mau jualan.",0,"  Bukan hanya ayam yang mahal, bumbu2nya mahal semua. Cabe ratusan ribu, bawang dan kacang tanah naik semua. Kecap manis juga udah makin mahal. Minyak goreng mahal dah gak kaget lagi ya. Penjual juga pasti pada bingung mau jualan.",  Bukan hanya ayam yang mahal bumbu2nya mahal semua Cabe ratusan ribu bawang dan kacang tanah naik semua Kecap manis juga udah makin mahal Minyak goreng mahal dah gak kaget lagi ya Penjual juga pasti pada bingung mau jualan,Bukan hanya ayam yang mahal bumbu   nya mahal semua Cabe ratusan ribu bawang dan kacang tanah naik semua Kecap manis juga udah makin mahal Minyak goreng mahal dah gak kaget lagi ya Penjual juga pasti pada bingung mau jualan,bukan hanya ayam yang mahal bumbu   nya mahal semua cabe ratusan ribu bawang dan kacang tanah naik semua kecap manis juga udah makin mahal minyak goreng mahal dah gak kaget lagi ya penjual juga pasti pada bingung mau jualan,"['ayam', 'mahal', 'bumbu', 'nya', 'mahal', 'cabe', 'ratus', 'ribu', 'bawang', 'kacang', 'tanah', 'kecap', 'manis', 'udah', 'mahal', 'minyak', 'goreng', 'mahal', 'dah', 'gak', 'kaget', 'ya', 'jual', 'bingung', 'jual']",ayam mahal bumbu nya mahal cabe ratus ribu bawang kacang tanah kecap manis udah mahal minyak goreng mahal dah gak kaget ya jual bingung jual
1542116419877347331,"Memang pembelian minyak goreng ini harus dibatasi dulu, karena harganya masih mahal di pasar dunia. Saya sendiri sekali beli hanya 1,5 kg itupun untuk 2 minggu. Sudah ada 40 ribu pengecer yg terdaftar oleh Kemendag &amp; Kemenperin. Cek di https://t.co/Sg4clgLiPG #MinyakUntukKita",0,"Memang pembelian minyak goreng ini harus dibatasi dulu, karena harganya masih mahal di pasar dunia. Saya sendiri sekali beli hanya 1,5 kg itupun untuk 2 minggu. Sudah ada 40 ribu pengecer yg terdaftar oleh Kemendag &amp; Kemenperin. Cek di https://t.co/Sg4clgLiPG #MinyakUntukKita",Memang pembelian minyak goreng ini harus dibatasi dulu karena harganya masih mahal di pasar dunia Saya sendiri sekali beli hanya 15 kg itupun untuk 2 minggu Sudah ada 40 ribu pengecer yg terdaftar oleh Kemendag amp Kemenperin Cek di httpstcoSg4clgLiPG MinyakUntukKita,Memang pembelian minyak goreng ini harus dibatasi dulu karena harganya masih mahal di pasar dunia Saya sendiri sekali beli hanya    kg itupun untuk   minggu Sudah ada    ribu pengecer yg terdaftar oleh Kemendag amp Kemenperin Cek di httpstcoSg   clgLiPG MinyakUntukKita,memang pembelian minyak goreng ini harus dibatasi dulu karena harganya masih mahal di pasar dunia saya sendiri sekali beli hanya    kg itupun untuk   minggu sudah ada    ribu pengecer yg terdaftar oleh kemendag amp kemenperin cek di httpstcosg   clglipg minyakuntukkita,"['beli', 'minyak', 'goreng', 'batas', 'harga', 'mahal', 'pasar', 'dunia', 'beli', 'kg', 'itu', 'minggu', 'ribu', 'ecer', 'yg', 'daftar', 'kemendag', 'amp', 'kemenperin', 'cek', 'httpstcosg', 'clglipg', 'minyakuntukkita']",beli minyak goreng batas harga mahal pasar dunia beli kg itu minggu ribu ecer yg daftar kemendag amp kemenperin cek httpstcosg clglipg minyakuntukkita
1541933778905354240,"@Dennysiregar7 Pak biden tertawa karena kagum dengan Indonesia, sebab pak jokowi cerita kalo warganya skrng jadi paling bahagia didunia, dan terbukti kalo yg merasa tidak bahagia itu disebabkan harga minyak goreng dan cabe lagi mahal, itu pun kenyataan masjh bisa beli.",0," Pak biden tertawa karena kagum dengan Indonesia, sebab pak jokowi cerita kalo warganya skrng jadi paling bahagia didunia, dan terbukti kalo yg merasa tidak bahagia itu disebabkan harga minyak goreng dan cabe lagi mahal, itu pun kenyataan masjh bisa beli.", Pak biden tertawa karena kagum dengan Indonesia sebab pak jokowi cerita kalo warganya skrng jadi paling bahagia didunia dan terbukti kalo yg merasa tidak bahagia itu disebabkan harga minyak goreng dan cabe lagi mahal itu pun kenyataan masjh bisa beli,Pak biden tertawa karena kagum dengan Indonesia sebab pak jokowi cerita kalo warganya skrng jadi paling bahagia didunia dan terbukti kalo yg merasa tidak bahagia itu disebabkan harga minyak goreng dan cabe lagi mahal itu pun kenyataan masjh bisa beli,pak biden tertawa karena kagum dengan indonesia sebab pak jokowi cerita kalo warganya skrng jadi paling bahagia didunia dan terbukti kalo yg merasa tidak bahagia itu disebabkan harga minyak goreng dan cabe lagi mahal itu pun kenyataan masjh bisa beli,"['biden', 'tertawa', 'kagum', 'indonesia', 'jokowi', 'cerita', 'kalo', 'warga', 'skrng', 'bahagia', 'dunia', 'bukti', 'kalo', 'yg', 'bahagia', 'sebab', 'harga', 'minyak', 'goreng', 'cabe', 'mahal', 'nyata', 'masjh', 'beli']",biden tertawa kagum indonesia jokowi cerita kalo warga skrng bahagia dunia bukti kalo yg bahagia sebab harga minyak goreng cabe mahal nyata masjh beli
1542612867366547456,@jokowi @BiLLYKHAERUDIN Terus saya harus bilang wow gitu? Harga minyak goreng masih mahal pakde,1,  Terus saya harus bilang wow gitu? Harga minyak goreng masih mahal pakde,  Terus saya harus bilang wow gitu Harga minyak goreng masih mahal pakde,Terus saya harus bilang wow gitu Harga minyak goreng masih mahal pakde,terus saya harus bilang wow gitu harga minyak goreng masih mahal pakde,"['bilang', 'wow', 'gitu', 'harga', 'minyak', 'goreng', 'mahal', 'pakde']",bilang wow gitu harga minyak goreng mahal pakde
1542265424603074560,"@ina_update_ Boro2 bangun ikn yg sesungguh nya tdk urgen, pak ...minyak goreng mahal dan susah, petani sawit menderita harga sawit anjlok, pak... kasian pedagang bakso dan pedagang gorengan minyak mahaldan susah tambah harga cabe sangat mahaaaaall.",0," Boro2 bangun ikn yg sesungguh nya tdk urgen, pak ...minyak goreng mahal dan susah, petani sawit menderita harga sawit anjlok, pak... kasian pedagang bakso dan pedagang gorengan minyak mahaldan susah tambah harga cabe sangat mahaaaaall.", Boro2 bangun ikn yg sesungguh nya tdk urgen pak minyak goreng mahal dan susah petani sawit menderita harga sawit anjlok pak kasian pedagang bakso dan pedagang gorengan minyak mahaldan susah tambah harga cabe sangat mahaaaaall,Boro   bangun ikn yg sesungguh nya tdk urgen pak minyak goreng mahal dan susah petani sawit menderita harga sawit anjlok pak kasian pedagang bakso dan pedagang gorengan minyak mahaldan susah tambah harga cabe sangat mahaall,boro   bangun ikn yg sesungguh nya tdk urgen pak minyak goreng mahal dan susah petani sawit menderita harga sawit anjlok pak kasian pedagang bakso dan pedagang gorengan minyak mahaldan susah tambah harga cabe sangat mahaall,"['boro', 'bangun', 'ikn', 'yg', 'sungguh', 'nya', 'tdk', 'urgen', 'minyak', 'goreng', 'mahal', 'susah', 'tani', 'sawit', 'derita', 'harga', 'sawit', 'anjlok', 'kasi', 'dagang', 'bakso', 'dagang', 'goreng', 'minyak', 'mahaldan', 'susah', 'harga', 'cabe', 'mahaall']",boro bangun ikn yg sungguh nya tdk urgen minyak goreng mahal susah tani sawit derita harga sawit anjlok kasi dagang bakso dagang goreng minyak mahaldan susah harga cabe mahaall
1542300547520163840,"cabe mahal. solusinya jangan makan yg pedas². atau tanam cabe sendiri di rumah

ketika minyak goreng mahal, ibu suri minta rakyat utk makan rebusan.

keren kan 👍",0,"cabe mahal. solusinya jangan makan yg pedas². atau tanam cabe sendiri di rumah  ketika minyak goreng mahal, ibu suri minta rakyat utk makan rebusan.  keren kan 👍",cabe mahal solusinya jangan makan yg pedas² atau tanam cabe sendiri di rumah  ketika minyak goreng mahal ibu suri minta rakyat utk makan rebusan  keren kan 👍,cabe mahal solusinya jangan makan yg pedas  atau tanam cabe sendiri di rumah ketika minyak goreng mahal ibu suri minta rakyat utk makan rebusan keren kan,cabe mahal solusinya jangan makan yg pedas  atau tanam cabe sendiri di rumah ketika minyak goreng mahal ibu suri minta rakyat utk makan rebusan keren kan,"['cabe', 'mahal', 'solusi', 'makan', 'yg', 'pedas', 'tanam', 'cabe', 'rumah', 'minyak', 'goreng', 'mahal', 'suri', 'rakyat', 'utk', 'makan', 'rebus', 'keren']",cabe mahal solusi makan yg pedas tanam cabe rumah minyak goreng mahal suri rakyat utk makan rebus keren
1542502137808097281,@Valosenadya1 Ibu cantik coba kalau baca berita tabayun dulu ya..... Minyak goreng mahal loh bu sekarang.... Masak suka goreng2 sih.... Gemes aku tuh.....,0, Ibu cantik coba kalau baca berita tabayun dulu ya..... Minyak goreng mahal loh bu sekarang.... Masak suka goreng2 sih.... Gemes aku tuh....., Ibu cantik coba kalau baca berita tabayun dulu ya Minyak goreng mahal loh bu sekarang Masak suka goreng2 sih Gemes aku tuh,Ibu cantik coba kalau baca berita tabayun dulu ya Minyak goreng mahal loh bu sekarang Masak suka goreng   sih Gemes aku tuh,ibu cantik coba kalau baca berita tabayun dulu ya minyak goreng mahal loh bu sekarang masak suka goreng   sih gemes aku tuh,"['cantik', 'coba', 'baca', 'berita', 'tabayun', 'ya', 'minyak', 'goreng', 'mahal', 'loh', 'bu', 'masak', 'suka', 'goreng', 'sih', 'gemes', 'tuh']",cantik coba baca berita tabayun ya minyak goreng mahal loh bu masak suka goreng sih gemes tuh
1542076763081125889,"@Cloudz_matrix @Dennysiregar7 Cebong yg baik hatinya, realistis ajalah, kita negara penghasil minyak sawit terbesar didunia kok minyak goreng langka &amp; mahal berarti ada yg salah dg kebijakan &amp; pengawasan, begitu jg kita negara yg kepulauan yg lautnya luas tapi garam masih impor, dll
Bgmn bong ???",0,"  Cebong yg baik hatinya, realistis ajalah, kita negara penghasil minyak sawit terbesar didunia kok minyak goreng langka &amp; mahal berarti ada yg salah dg kebijakan &amp; pengawasan, begitu jg kita negara yg kepulauan yg lautnya luas tapi garam masih impor, dll Bgmn bong ???",  Cebong yg baik hatinya realistis ajalah kita negara penghasil minyak sawit terbesar didunia kok minyak goreng langka amp mahal berarti ada yg salah dg kebijakan amp pengawasan begitu jg kita negara yg kepulauan yg lautnya luas tapi garam masih impor dll Bgmn bong ,Cebong yg baik hatinya realistis ajalah kita negara penghasil minyak sawit terbesar didunia kok minyak goreng langka amp mahal berarti ada yg salah dg kebijakan amp pengawasan begitu jg kita negara yg kepulauan yg lautnya luas tapi garam masih impor dll Bgmn bong,cebong yg baik hatinya realistis ajalah kita negara penghasil minyak sawit terbesar didunia kok minyak goreng langka amp mahal berarti ada yg salah dg kebijakan amp pengawasan begitu jg kita negara yg kepulauan yg lautnya luas tapi garam masih impor dll bgmn bong,"['cebong', 'yg', 'hati', 'realistis', 'aja', 'negara', 'hasil', 'minyak', 'sawit', 'besar', 'dunia', 'minyak', 'goreng', 'langka', 'amp', 'mahal', 'yg', 'salah', 'dg', 'bijak', 'amp', 'awas', 'jg', 'negara', 'yg', 'pulau', 'yg', 'laut', 'luas', 'garam', 'impor', 'dll', 'bgmn', 'bong']",cebong yg hati realistis aja negara hasil minyak sawit besar dunia minyak goreng langka amp mahal yg salah dg bijak amp awas jg negara yg pulau yg laut luas garam impor dll bgmn bong
